Query	data
 What are the principles that Kirsty Williams has published?	{"Subject1":"principles","Person":"Kirsty Williams","What-Was-Said-About-the-Subject":"published"}
 What are the principles that Kirsty Williams has published?	{"Person":"Kirsty Williams","Subject1":"principles","What-Was-Said-About-the-Subject":"Kirsty Williams has published"}
 What is an asymmetric window?	{"Subject1":"asymmetric window"}
 What is an asymmetric window?	{"Subject1":"asymmetric window"}
 What is the baseline accuracy of the mean subtraction method?	{"Subject1":"mean subtraction method","What-Was-Said-About-the-Subject":"baseline accuracy"}
 What is the baseline accuracy of the mean subtraction method?	{"Subject1":"mean subtraction method","What-Was-Said-About-the-Subject":"baseline accuracy"}
 What are the main frustrations people have with the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"main frustrations people have"}
 What are the main frustrations people have with the remote control?	{"What-Was-Said-About-the-Subject":"main frustrations people have","Subject1":"remote control"}
 What are the implications of the number of buttons on the remote from the point of view of a user guide?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"implications of the number of buttons"}
 What are the implications of the number of buttons on the remote from the point of view of a user guide?	{"What-Was-Said-About-the-Subject":"point of view of a user guide","Subject1":"number of buttons","Subject2":"remote"}
 What are PhD A and B's opinion on asymmetric windows?	{"Subject1":"asymmetric windows","What-Was-Said-About-the-Subject":"PhD A and B's opinion","Person":"PhD A and B"}
 What are PhD A and B's opinion on asymmetric windows?	{"Subject1":"asymmetric windows","What-Was-Said-About-the-Subject":"PhD A and B's opinion","Person":"PhD A and B"}
 What is the main concern with the two-sided remote?	{"Subject1":"two-sided remote","What-Was-Said-About-the-Subject":"main concern"}
 What is the main concern with the two-sided remote?	{"Subject1":"two-sided remote","What-Was-Said-About-the-Subject":"main concern"}
 What is the most popular thing that came up in the market research?	{"Subject1":"market research","What-Was-Said-About-the-Subject":"most popular thing that came up"}
 What is the most popular thing that came up in the market research?	{"Subject1":"market research","What-Was-Said-About-the-Subject":"most popular thing"}
 What is the goal of the module that Grad D is proposing?	{"Subject1":"goal of the module","What-Was-Said-About-the-Subject":"Grad D is proposing","Person":"Grad D"}
 What is the goal of the module that Grad D is proposing?	{"Subject1":"module","What-Was-Said-About-the-Subject":"goal","Person":"Grad D"}
 What does the user interface designer think is the best option for people who have a new television?	{"Person":"user interface designer","Subject1":"new television","What-Was-Said-About-the-Subject":"user interface designer think is the best option for people"}
 What does the user interface designer think is the best option for people who have a new television?	{"Person":"user interface designer","Subject1":"people who have a new television","What-Was-Said-About-the-Subject":"best option"}
 What is the main problem with the idea of having a meeting note-taking system?	{"Subject1":"meeting note-taking system","What-Was-Said-About-the-Subject":"main problem"}
 What is the main problem with the idea of having a meeting note-taking system?	{"Subject1":"meeting note-taking system","What-Was-Said-About-the-Subject":"main problem with the idea"}
 What were the deciding factors in choosing which chip to use?	{"Subject1":"chip","What-Was-Said-About-the-Subject":"deciding factors in choosing"}
 What were the deciding factors in choosing which chip to use?	{"Subject1":"chip","What-Was-Said-About-the-Subject":"deciding factors in choosing"}
 What are the production costs for the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"production costs"}
 What are the production costs for the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"production costs"}
 What is the timeline for when Kirsty Williams AM will make a decision about returning to school?	{"Person":"Kirsty Williams AM","Subject1":"decision about returning to school","What-Was-Said-About-the-Subject":"timeline"}
 What is the timeline for when Kirsty Williams AM will make a decision about returning to school?	{"Person":"Kirsty Williams AM","Subject1":"decision about returning to school","What-Was-Said-About-the-Subject":"timeline"}
 What are some frustrations with a traditional remote control?	{"Subject1":"traditional remote control","What-Was-Said-About-the-Subject":"some frustrations"}
 What are some frustrations with a traditional remote control?	{"Subject1":"traditional remote control","What-Was-Said-About-the-Subject":"some frustrations"}
 What is the Welsh Government doing to ensure that the hubs are safe?	{"Subject1":"hubs are safe","What-Was-Said-About-the-Subject":"Welsh Government doing to ensure"}
 What is the Welsh Government doing to ensure that the hubs are safe?	{"Subject1":"hubs","What-Was-Said-About-the-Subject":"Welsh Government doing to ensure that the hubs are safe"}
 How does the professor think the latency should be handled?	{"Subject1":"latency","What-Was-Said-About-the-Subject":"should be handled","Person":"professor"}
 How does the professor think the latency should be handled?	{"Person":"professor","Subject1":"latency","What-Was-Said-About-the-Subject":"handled"}
 When will the Minister be in a position to provide a date as to when schools will reopen?	{"Subject1":"when schools will reopen","What-Was-Said-About-the-Subject":"Minister be in a position to provide a date"}
 When will the Minister be in a position to provide a date as to when schools will reopen?	{"Person":"Minister","Subject1":"date","What-Was-Said-About-the-Subject":"schools will reopen"}
 How might the remote be marketed to a specific demographic?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"marketed to a specific demographic"}
 How might the remote be marketed to a specific demographic?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"marketed to a specific demographic"}
 What is the Government of Canada's current debt to the People's Republic of China?	{"Subject1":"Government of Canada","Subject2":"People's Republic of China","What-Was-Said-About-the-Subject":"current debt"}
 What is the Government of Canada's current debt to the People's Republic of China?	{"Subject1":"People's Republic of China","What-Was-Said-About-the-Subject":"Government of Canada's current debt"}
 What is the likelihood of data loss due to the current storage method?	{"Subject1":"current storage method","What-Was-Said-About-the-Subject":"likelihood of data loss"}
 What is the likelihood of data loss due to the current storage method?	{"Subject1":"current storage method","What-Was-Said-About-the-Subject":"likelihood of data loss"}
 What are the two main things that the survey found when asking people about speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"two main things that the survey found when asking people"}
 What are the two main things that the survey found when asking people about speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"two main things that the survey found"}
 What is the difference between nearest-neighbor and support vector machines?	{"What-Was-Said-About-the-Subject":"difference","Subject1":"nearest-neighbor and support vector machines"}
 What is the difference between nearest-neighbor and support vector machines?	{"Subject1":"nearest-neighbor and support vector machines","What-Was-Said-About-the-Subject":"difference"}
 What is the current situation with regards to the operation of school hubs?	{"Subject1":"operation of school hubs","What-Was-Said-About-the-Subject":"current situation"}
 What is the current situation with regards to the operation of school hubs?	{"Subject1":"current situation","Subject2":"school hubs","What-Was-Said-About-the-Subject":"operation"}
 What is the life expectancy of data on a tape?	{"Subject1":"data on a tape","What-Was-Said-About-the-Subject":"life expectancy"}
 What is the life expectancy of data on a tape?	{"What-Was-Said-About-the-Subject":"life expectancy of data","Subject1":"tape"}
 Why does the industrial designer think there is a market for technology that looks cool?	{"Person":"industrial designer","Subject1":"market for technology","What-Was-Said-About-the-Subject":"looks cool"}
 Why does the industrial designer think there is a market for technology that looks cool?	{"Person":"industrial designer","Subject1":"market for technology","What-Was-Said-About-the-Subject":"cool"}
 How will the design of the remote control be different in terms of the type of design the team is considering?	{"Subject1":"type of design the team is considering","Subject2":"design of the remote control","What-Was-Said-About-the-Subject":"different","Person":"team"}
 How will the design of the remote control be different in terms of the type of design the team is considering?	{"Subject1":"design of the remote control","Subject2":"type of design the team is considering","What-Was-Said-About-the-Subject":"different"}
 What does the member of Parliament mention about the house of commons?	{"Subject1":"house of commons","What-Was-Said-About-the-Subject":"member of Parliament mention"}
 What does the member of Parliament mention about the house of commons?	{"Subject1":"house of commons","What-Was-Said-About-the-Subject":"member of Parliament mention about"}
 What is the allegation that the government is doing to rig the leaders debate?	{"Subject1":"leaders debate","What-Was-Said-About-the-Subject":"the allegation that the government is doing to rig"}
 What is the allegation that the government is doing to rig the leaders debate?	{"Subject1":"leaders debate","What-Was-Said-About-the-Subject":"allegation that the government is doing to rig"}
 What are the issues with HMRC?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"issues"}
 What are the issues with HMRC?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"issues"}
 What two features would Professor C. recommend to determine voiced-unvoiced?	{"Subject1":"voiced-unvoiced","What-Was-Said-About-the-Subject":"two features would Professor C. recommend to determine","Person":"Professor C."}
 What two features would Professor C. recommend to determine voiced-unvoiced?	{"Subject1":"voiced-unvoiced","Person":"Professor C","What-Was-Said-About-the-Subject":"two features would Professor C. recommend"}
 What can be done to improve the design of the infra-red?	{"Subject1":"design of the infra-red","What-Was-Said-About-the-Subject":"can be done to improve"}
 What can be done to improve the design of the infra-red?	{"Subject1":"design of the infra-red","What-Was-Said-About-the-Subject":"can be done to improve"}
 What type of battery should be used?	{"Subject1":"type of battery","What-Was-Said-About-the-Subject":"used"}
 What type of battery should be used?	{"Subject1":"type of battery"}
 What different parts of the user interface does a designer need to consider with a more user-friendly design?	{"Subject1":"different parts of the user interface","What-Was-Said-About-the-Subject":"designer need to consider with a more user-friendly design"}
 What different parts of the user interface does a designer need to consider with a more user-friendly design?	{"Subject1":"user interface","What-Was-Said-About-the-Subject":"designer need to consider with a more user-friendly design"}
 What are the most common causes of unintentional injury?	{"Subject1":"unintentional injury","What-Was-Said-About-the-Subject":"most common causes"}
 What are the most common causes of unintentional injury?	{"Subject1":"unintentional injury","What-Was-Said-About-the-Subject":"most common causes"}
 How many children are in attendance at the school hubs?	{"Subject1":"school hubs","What-Was-Said-About-the-Subject":"children are in attendance"}
 How many children are in attendance at the school hubs?	{"Subject1":"school hubs","What-Was-Said-About-the-Subject":"children are in attendance"}
 What is Professor C's opinion on the variance of the difference between the log power and the log magnitude spectr and the filter bank?	{"Subject1":"log power and the log magnitude spectr","Subject2":"filter bank","What-Was-Said-About-the-Subject":"difference","Person":"Professor C"}
 What is Professor C's opinion on the variance of the difference between the log power and the log magnitude spectr and the filter bank?	{"Subject1":"log power and the log magnitude spectr","Subject2":"filter bank","What-Was-Said-About-the-Subject":"Professor C's opinion on the variance of the difference","Person":"Professor C"}
 What is the Welsh Government's proposal to ensure that the system is used for childcare?	{"Subject1":"system is used for childcare","What-Was-Said-About-the-Subject":"Welsh Government's proposal to ensure"}
 What is the Welsh Government's proposal to ensure that the system is used for childcare?	{"Subject1":"system","Subject2":"childcare","What-Was-Said-About-the-Subject":"Welsh Government's proposal to ensure"}
 What does the industrial designer think the remote should focus on?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"industrial designer think the remote should focus on","Person":"industrial designer"}
 What does the industrial designer think the remote should focus on?	{"Person":"industrial designer","Subject1":"remote","What-Was-Said-About-the-Subject":"focus on"}
 What is Professor B suggesting as an alternative to backups?	{"Subject1":"backups","What-Was-Said-About-the-Subject":"Professor B suggesting as an alternative","Person":"Professor B"}
 What is Professor B suggesting as an alternative to backups?	{"Person":"Professor B","Subject1":"alternative to backups","What-Was-Said-About-the-Subject":"Professor B suggesting"}
 What are the pros and cons of marketing to a certain demographic?	{"Subject1":"marketing to a certain demographic","What-Was-Said-About-the-Subject":"pros and cons"}
 What are the pros and cons of marketing to a certain demographic?	{"What-Was-Said-About-the-Subject":"pros and cons of marketing","Subject1":"certain demographic"}
 What are the main challenges for students at the end of their GCSEs?	{"Subject1":"students at the end of their GCSEs","What-Was-Said-About-the-Subject":"main challenges"}
 What are the main challenges for students at the end of their GCSEs?	{"Subject1":"GCSEs","What-Was-Said-About-the-Subject":"main challenges for students at the end"}
 What are the consequences of allowing Huawei to install equipment in Canada?	{"Subject1":"install equipment in Canada","What-Was-Said-About-the-Subject":"consequences of allowing Huawei"}
 What are the consequences of allowing Huawei to install equipment in Canada?	{"Subject1":"install equipment in Canada","What-Was-Said-About-the-Subject":"consequences of allowing Huawei"}
 What are the downsampling methods for the LDA filters?	{"Subject1":"LDA filters","What-Was-Said-About-the-Subject":"downsampling methods"}
 What are the downsampling methods for the LDA filters?	{"Subject1":"LDA filters","What-Was-Said-About-the-Subject":"downsampling methods"}
 Why would someone want to buy a new remote?	{"Subject1":"new remote","What-Was-Said-About-the-Subject":"someone want to buy"}
 Why would someone want to buy a new remote?	{"Subject1":"new remote","What-Was-Said-About-the-Subject":"someone want to buy"}
 What are the pros and cons of a command interface?	{"Subject1":"command interface","What-Was-Said-About-the-Subject":"pros and cons"}
 What are the pros and cons of a command interface?	{"What-Was-Said-About-the-Subject":"pros and cons","Subject1":"command interface"}
 What is the Welsh Government doing to support children who are not in school?	{"Subject1":"children who are not in school","What-Was-Said-About-the-Subject":"Welsh Government doing to support"}
 What is the Welsh Government doing to support children who are not in school?	{"Subject1":"children who are not in school","What-Was-Said-About-the-Subject":"Welsh Government doing to support"}
 What is the role of the House of Commons in the current situation?	{"Subject1":"House of Commons","What-Was-Said-About-the-Subject":"role"}
 What is the role of the House of Commons in the current situation?	{"Subject1":"House of Commons","What-Was-Said-About-the-Subject":"role"}
 What are the different types of devices that the industrial designer is considering?	{"Person":"industrial designer","Subject1":"different types of devices","What-Was-Said-About-the-Subject":"industrial designer is considering"}
 What are the different types of devices that the industrial designer is considering?	{"Person":"industrial designer","Subject1":"different types of devices","What-Was-Said-About-the-Subject":"industrial designer is considering"}
 How does lack of Welsh-language instruction in schools affect children?	{"Subject1":"lack of Welsh-language instruction in schools","What-Was-Said-About-the-Subject":"affect children"}
 How does lack of Welsh-language instruction in schools affect children?	{"What-Was-Said-About-the-Subject":"affect children","Subject1":"lack of Welsh-language instruction in schools"}
 How has the crisis impacted vulnerable children in Wales?	{"Subject1":"vulnerable children in Wales","What-Was-Said-About-the-Subject":"crisis impacted"}
 How has the crisis impacted vulnerable children in Wales?	{"Subject1":"vulnerable children in Wales","What-Was-Said-About-the-Subject":"crisis impacted"}
 What is the professor's opinion on the idea of changing the speech rate of the data?	{"Subject1":"data","What-Was-Said-About-the-Subject":"idea of changing the speech rate","Person":"professor"}
 What is the professor's opinion on the idea of changing the speech rate of the data?	{"Subject1":"data","Person":"professor","What-Was-Said-About-the-Subject":"professor's opinion on the idea of changing the speech rate"}
 What are the Welsh Government's plans for the next phase?	{"Subject1":"Welsh Government's plans","What-Was-Said-About-the-Subject":"for the next phase"}
 What are the Welsh Government's plans for the next phase?	{"Subject1":"next phase","What-Was-Said-About-the-Subject":"Welsh Government's plans"}
 What are some of the pros and cons of speech recognition?	{"Subject1":"speech recognition","What-Was-Said-About-the-Subject":"pros and cons"}
 What are some of the pros and cons of speech recognition?	{"What-Was-Said-About-the-Subject":"pros and cons","Subject1":"speech recognition"}
 What are the new features for the training of the MLP to detect voice-unvoice?	{"Subject1":"voice-unvoice","What-Was-Said-About-the-Subject":"new features for the training of the MLP to detect"}
 What are the new features for the training of the MLP to detect voice-unvoice?	{"Subject1":"voice-unvoice","What-Was-Said-About-the-Subject":"new features for the training of the MLP to detect"}
 What is the professor's opinion on latency?	{"Subject1":"latency","What-Was-Said-About-the-Subject":"professor's opinion","Person":"professor"}
 What is the professor's opinion on latency?	{"Subject1":"latency","What-Was-Said-About-the-Subject":"professor's opinion","Person":"professor"}
 What is Nicola Edwards' stance on how Welsh is taught?	{"Subject1":"Welsh is taught","What-Was-Said-About-the-Subject":"Nicola Edwards' stance","Person":"Nicola Edwards"}
 What is Nicola Edwards' stance on how Welsh is taught?	{"Subject1":"Welsh is taught","What-Was-Said-About-the-Subject":"Nicola Edwards' stance","Person":"Nicola Edwards"}
 What is the Minister of Finance's response to the question about the Government of Canada's debt to Saudi Arabia?	{"Subject1":"Government of Canada's debt to Saudi Arabia","What-Was-Said-About-the-Subject":"Minister of Finance's response to the question"}
 What is the Minister of Finance's response to the question about the Government of Canada's debt to Saudi Arabia?	{"Subject1":"Government of Canada's debt to Saudi Arabia","What-Was-Said-About-the-Subject":"Minister of Finance's response to the question"}
 What are some of the challenges early years educators face with Welsh language skills?	{"Subject1":"Welsh language skills","What-Was-Said-About-the-Subject":"some of the challenges early years educators face"}
 What are some of the challenges early years educators face with Welsh language skills?	{"Subject1":"Welsh language skills","What-Was-Said-About-the-Subject":"some of the challenges early years educators face"}
 What are the concerns that the Welsh Government has about the potential for the attainment gap between disadvantaged pupils and their more affluent peers?	{"Subject1":"attainment gap between disadvantaged pupils and their more affluent peers","What-Was-Said-About-the-Subject":"concerns that the Welsh Government has about the potential"}
 What are the concerns that the Welsh Government has about the potential for the attainment gap between disadvantaged pupils and their more affluent peers?	{"Subject1":"attainment gap between disadvantaged pupils and their more affluent peers","What-Was-Said-About-the-Subject":"concerns that the Welsh Government has about the potential"}
 What is the difference between the two remotes shown?	{"Subject1":"two remotes","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between the two remotes shown?	{"Subject1":"two remotes","What-Was-Said-About-the-Subject":"difference"}
 Why does Nicola Edwards think that the Welsh language is important for Welsh people?	{"Subject1":"Welsh language","What-Was-Said-About-the-Subject":"important for Welsh people","Person":"Nicola Edwards"}
 Why does Nicola Edwards think that the Welsh language is important for Welsh people?	{"Person":"Nicola Edwards","Subject1":"Welsh language is important for Welsh people","What-Was-Said-About-the-Subject":"Nicola Edwards think"}
 Did the participants find it difficult to take notes on the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"participants find it difficult to take notes"}
 Did the participants find it difficult to take notes on the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"participants find it difficult to take notes"}
 What is the researcher trying to figure out in regards to the mean subtraction approach?	{"Subject1":"mean subtraction approach","What-Was-Said-About-the-Subject":"researcher trying to figure out","Person":"researcher"}
 What is the researcher trying to figure out in regards to the mean subtraction approach?	{"Subject1":"mean subtraction approach","What-Was-Said-About-the-Subject":"researcher trying to figure out","Person":"researcher"}
 How will the logo and color scheme be incorporated into the product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"logo and color scheme be incorporated"}
 How will the logo and color scheme be incorporated into the product?	{"Subject1":"product","What-Was-Said-About-the-Subject":"logo and color scheme be incorporated"}
 In what region did M. Latourte say he lives?	{"Person":"M. Latourte","Subject1":"M. Latourte","What-Was-Said-About-the-Subject":"region"}
 In what region did M. Latourte say he lives?	{"Subject1":"M. Latourte","What-Was-Said-About-the-Subject":"region","Person":"M. Latourte"}
 What was the original idea for the new remote?	{"Subject1":"new remote","What-Was-Said-About-the-Subject":"original idea"}
 What was the original idea for the new remote?	{"Subject1":"new remote","What-Was-Said-About-the-Subject":"original idea"}
 What are the advantages of a regular chip?	{"Subject1":"regular chip","What-Was-Said-About-the-Subject":"advantages"}
 What are the advantages of a regular chip?	{"Subject1":"regular chip","What-Was-Said-About-the-Subject":"advantages"}
 What is the Acting Chair (Mr. Bruce Stanton) saying about power in the House of Commons?	{"Subject1":"House of Commons","What-Was-Said-About-the-Subject":"Acting Chair (Mr. Bruce Stanton) saying about power","Person":"Mr. Bruce Stanton"}
 What is the Acting Chair (Mr. Bruce Stanton) saying about power in the House of Commons?	{"Person":"Mr. Bruce Stanton","Subject1":"House of Commons","What-Was-Said-About-the-Subject":"power"}
 What is the baseline accuracy of the SRI system using the mean subtraction method?	{"Subject1":"SRI system","Subject2":"mean subtraction method","What-Was-Said-About-the-Subject":"baseline accuracy"}
 What is the baseline accuracy of the SRI system using the mean subtraction method?	{"Subject1":"SRI system","Subject2":"mean subtraction method","What-Was-Said-About-the-Subject":"baseline accuracy"}
 What can be done to make the remote control more accessible for users?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"can be done to make the remote control more accessible for users"}
 What can be done to make the remote control more accessible for users?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"can be done to make the remote control more accessible for users"}
 What are some of the design decisions that have been made so far in terms of aesthetics?	{"Subject1":"aesthetics","What-Was-Said-About-the-Subject":"some of the design decisions"}
 What are some of the design decisions that have been made so far in terms of aesthetics?	{"Subject1":"aesthetics","What-Was-Said-About-the-Subject":"some of the design decisions that have been made"}
 Does speech recognizer have to be good enough to filter out ambient sound?	{"Subject1":"speech recognizer","What-Was-Said-About-the-Subject":"have to be good enough to filter out ambient sound"}
 Does speech recognizer have to be good enough to filter out ambient sound?	{"Subject1":"speech recognizer","What-Was-Said-About-the-Subject":"have to be good enough to filter out ambient sound"}
 What are some of the difficulties that counsellors are facing?	{"Subject1":"counsellors","What-Was-Said-About-the-Subject":"some of the difficulties"}
 What are some of the difficulties that counsellors are facing?	{"Subject1":"counsellors","What-Was-Said-About-the-Subject":"some of the difficulties"}
 Why does the user interface think that a command interface would be the most useful for the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"user interface think that a command interface would be the most useful","Person":"user interface"}
 Why does the user interface think that a command interface would be the most useful for the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"user interface think that a command interface would be the most useful","Person":"user interface"}
 What are the different levels of sonorance detection?	{"Subject1":"sonorance detection","What-Was-Said-About-the-Subject":"different levels"}
 What are the different levels of sonorance detection?	{"Subject1":"sonorance detection","What-Was-Said-About-the-Subject":"different levels"}
 What is the Welsh Government's position on who should be tested for COVID?	{"Subject1":"COVID","What-Was-Said-About-the-Subject":"Welsh Government's position"}
 What is the Welsh Government's position on who should be tested for COVID?	{"Subject1":"COVID","What-Was-Said-About-the-Subject":"Welsh Government's position"}
 What is a potential issue with speech recognition in a remote control for a television?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"potential issue with speech recognition"}
 What is a potential issue with speech recognition in a remote control for a television?	{"What-Was-Said-About-the-Subject":"potential issue","Subject2":"remote control for a television","Subject1":"speech recognition"}
 Why did the previous Minister tell the committee that HMRC wouldn't have any problems with delivering according to the Welsh language standards?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"wouldn't have any problems with delivering according to the Welsh language standards"}
 Why did the previous Minister tell the committee that HMRC wouldn't have any problems with delivering according to the Welsh language standards?	{"Person":"previous Minister","Subject1":"HMRC","What-Was-Said-About-the-Subject":"problems with delivering according to the Welsh language standards"}
 What specific steps have been taken to develop Welsh language skills in the early years workforce?	{"Subject1":"Welsh language skills","What-Was-Said-About-the-Subject":"specific steps have been taken to develop"}
 What specific steps have been taken to develop Welsh language skills in the early years workforce?	{"Subject1":"Welsh language skills","What-Was-Said-About-the-Subject":"specific steps have been taken to develop"}
 How many frames of silence were detected prior to an utterance ending?	{"Subject1":"utterance ending","What-Was-Said-About-the-Subject":"frames of silence were detected prior"}
 How many frames of silence were detected prior to an utterance ending?	{"Subject1":"utterance ending","What-Was-Said-About-the-Subject":"frames of silence were detected prior"}
 What is a remotes's biggest frustration, according to people?	{"Subject1":"remotes","What-Was-Said-About-the-Subject":"biggest frustration, according to people"}
 What is a remotes's biggest frustration, according to people?	{"Subject1":"remotes","What-Was-Said-About-the-Subject":"biggest frustration, according to people"}
 What is HMRC's role in the current government?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"role"}
 What is HMRC's role in the current government?	{"Subject1":"HMRC","What-Was-Said-About-the-Subject":"role"}
 What does the detector for sonorance do?	{"Subject1":"detector for sonorance","What-Was-Said-About-the-Subject":"do"}
 What does the detector for sonorance do?	{"Subject1":"detector for sonorance","What-Was-Said-About-the-Subject":"do"}
 How does a scribe listening to the recording and taking notes help the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"scribe listening to the recording and taking notes help"}
 How does a scribe listening to the recording and taking notes help the meeting?	{"Subject1":"meeting","What-Was-Said-About-the-Subject":"scribe listening to the recording and taking notes help"}
 What is the difference between linear and non-linear phase?	{"Subject1":"linear and non-linear phase","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between linear and non-linear phase?	{"Subject1":"linear and non-linear phase","What-Was-Said-About-the-Subject":"difference"}
 What are the economic limitations of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"economic limitations"}
 What are the economic limitations of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"economic limitations"}
 What are the Welsh Government's plans to increase the number of childcare places in Wales?	{"Subject1":"number of childcare places in Wales","What-Was-Said-About-the-Subject":"Welsh Government's plans to increase"}
 What are the Welsh Government's plans to increase the number of childcare places in Wales?	{"Subject1":"childcare places in Wales","What-Was-Said-About-the-Subject":"Welsh Government's plans to increase the number"}
